Time,The 1th agent,The 2th agent,The 3th agent,The 4th agent,The 5th agent,The 6th agent,The 7th agent,The 8th agent,The 9th agent,The 10th agent,The 11th agent,The 12th agent,The 13th agent
0,67.31020992866794,44.16777035660806,68.70620485455217,46.583915555422436,5.794651613117625,47.774180574884994,71.18866320977958,47.619537319676795,69.20111876108264,331.78747703116085,424.55585184207627,632.7392319629182,238.29215422687986
1,67.31020992866794,44.16777035660806,68.70620485455217,46.583915555422436,5.794651613117625,47.774180574884994,71.18866320977958,47.619537319676795,69.20111876108264,331.78747703116085,424.55585184207627,632.7392319629182,238.29215422687986
2,67.31020992866794,44.16777035660806,68.70620485455217,46.583915555422436,5.794651613117625,47.774180574884994,71.18866320977958,47.619537319676795,69.20111876108264,331.78747703116085,424.55585184207627,632.7392319629182,238.29215422687986
3,67.31020992866794,44.16777035660806,68.70620485455217,46.583915555422436,5.794651613117625,47.774180574884994,71.18866320977958,47.619537319676795,69.20111876108264,331.78747703116085,424.55585184207627,632.7392319629182,238.29215422687986
4,58.62141677147051,46.10128083383719,70.51671630954723,46.13308456036941,5.642296345383298,42.673428860960605,71.18105524170372,47.965294839357206,75.0758102150035,326.55863247354233,100.1891513720482,630.0123345542688,80.26372757858505
5,58.62141677147051,46.10128083383719,70.51671630954723,46.13308456036941,5.642296345383298,42.673428860960605,71.18105524170372,47.965294839357206,75.0758102150035,326.55863247354233,100.1891513720482,630.0123345542688,80.26372757858505
6,58.62141677147051,46.10128083383719,70.51671630954723,46.13308456036941,5.642296345383298,42.673428860960605,71.18105524170372,47.965294839357206,75.0758102150035,326.55863247354233,100.1891513720482,630.0123345542688,80.26372757858505
7,58.62141677147051,46.10128083383719,70.51671630954723,46.13308456036941,5.642296345383298,42.673428860960605,71.18105524170372,47.965294839357206,75.0758102150035,326.55863247354233,100.1891513720482,630.0123345542688,80.26372757858505
8,51.74061221131085,41.03336407329033,60.28783269086459,37.55317699525973,8.165926483892603,34.91334477623964,60.64913841106328,50.09947881654826,65.0102599581098,73.66037948080505,92.61528757067838,546.8062807164926,70.68329146482206
9,51.74061221131085,41.03336407329033,60.28783269086459,37.55317699525973,8.165926483892603,34.91334477623964,60.64913841106328,50.09947881654826,65.0102599581098,73.66037948080505,92.61528757067838,546.8062807164926,70.68329146482206
10,51.74061221131085,41.03336407329033,60.28783269086459,37.55317699525973,8.165926483892603,34.91334477623964,60.64913841106328,50.09947881654826,65.0102599581098,73.66037948080505,92.61528757067838,546.8062807164926,70.68329146482206
11,51.74061221131085,41.03336407329033,60.28783269086459,37.55317699525973,8.165926483892603,34.91334477623964,60.64913841106328,50.09947881654826,65.0102599581098,73.66037948080505,92.61528757067838,546.8062807164926,70.68329146482206
12,34.714234563191376,32.48635732408797,56.04090630708787,30.92874040149103,11.504726688099398,32.61424641120073,44.88477204766012,36.646447697410906,37.38860295934917,61.45046207366047,70.64446813217727,72.62971805291028,14.548325421629022
13,34.714234563191376,32.48635732408797,56.04090630708787,30.92874040149103,11.504726688099398,32.61424641120073,44.88477204766012,36.646447697410906,37.38860295934917,61.45046207366047,70.64446813217727,72.62971805291028,14.548325421629022
14,34.714234563191376,32.48635732408797,56.04090630708787,30.92874040149103,11.504726688099398,32.61424641120073,44.88477204766012,36.646447697410906,37.38860295934917,61.45046207366047,70.64446813217727,72.62971805291028,14.548325421629022
15,34.714234563191376,32.48635732408797,56.04090630708787,30.92874040149103,11.504726688099398,32.61424641120073,44.88477204766012,36.646447697410906,37.38860295934917,61.45046207366047,70.64446813217727,72.62971805291028,14.548325421629022
16,33.48517605427653,29.86208014929426,35.25634451202217,29.763713555522422,9.304543562376558,27.64015488516496,49.647639851093295,34.53757656370132,40.752216780912335,57.33934194837422,63.047465491550625,62.706248006587664,78.31616719517187
17,33.48517605427653,29.86208014929426,35.25634451202217,29.763713555522422,9.304543562376558,27.64015488516496,49.647639851093295,34.53757656370132,40.752216780912335,57.33934194837422,63.047465491550625,62.706248006587664,78.31616719517187
18,33.48517605427653,29.86208014929426,35.25634451202217,29.763713555522422,9.304543562376558,27.64015488516496,49.647639851093295,34.53757656370132,40.752216780912335,57.33934194837422,63.047465491550625,62.706248006587664,78.31616719517187
19,33.48517605427653,29.86208014929426,35.25634451202217,29.763713555522422,9.304543562376558,27.64015488516496,49.647639851093295,34.53757656370132,40.752216780912335,57.33934194837422,63.047465491550625,62.706248006587664,78.31616719517187
20,36.907643615843064,25.248387113391484,31.652920330271325,25.74882457398329,12.228830253572614,23.35663129517411,39.712957784147775,29.121345759083603,36.143428846616054,71.7391623105479,58.717965284042144,74.36673555995984,79.75935951790272
21,36.907643615843064,25.248387113391484,31.652920330271325,25.74882457398329,12.228830253572614,23.35663129517411,39.712957784147775,29.121345759083603,36.143428846616054,71.7391623105479,58.717965284042144,74.36673555995984,79.75935951790272
