Time,The 1th agent_x,The 1th agent_y,The 2th agent_x,The 2th agent_y,The 3th agent_x,The 3th agent_y,The 4th agent_x,The 4th agent_y,The 5th agent_x,The 5th agent_y,The 6th agent_x,The 6th agent_y,The 7th agent_x,The 7th agent_y,The 8th agent_x,The 8th agent_y,The 9th agent_x,The 9th agent_y,The 10th agent_x,The 10th agent_y,The 11th agent_x,The 11th agent_y,The 12th agent_x,The 12th agent_y,The 13th agent_x,The 13th agent_y
0,-1.9982391013841347,2.000066732655127,0.0011038261672120494,2.000048527643874,2.001389960563176,2.000015557055245,-1.9988297571355125,8.110778937414414e-05,0.0002582943666329272,3.944619144646284e-05,2.000929060792825,1.3565696136368764e-05,-1.9981315165025983,-1.9999447410286935,0.0012439845345386539,-1.999915449840012,2.0015089585997434,-1.9997659417217135,-3.997339093228518,-9.376807164100464e-07,4.002105438856672,3.931338288969802e-05,0.0026083642838037155,-3.999955680282767,0.0025816912608881844,4.000081374558975
1,-1.998212141674881,2.00006784276689,0.001107463836200283,2.0000480864177352,2.00139359749069,2.000015134719372,-1.9988261259695053,9.980734371424881e-05,0.0002866569091853552,3.9555901554574874e-05,2.0011787859343926,-1.2937583577783027e-05,-1.9981278861630962,-1.9999445170249763,0.0012817501891132007,-1.9999007021135828,2.0015125620736325,-1.9997470698037776,-3.9973354582370613,-6.089952023578314e-07,4.0021090773819905,3.857211159469744e-05,0.002611998474098756,-3.9999558904798196,0.0026139522294827315,4.00008547994562
2,-1.9982073578429498,2.0000685902030693,0.001132760543140961,2.00006223539451,2.001448364888474,2.0000043249257238,-1.9988213433784117,0.0001244806712226835,0.00029145406692355005,3.985289918725514e-05,2.0011835691851565,-1.313710447391567e-05,-1.9981230852676033,-1.9999442300746155,0.0012894907755537357,-1.999899117612719,2.001517308086887,-1.9997221692325697,-3.9973306565148574,5.462740566660102e-09,4.00226654812707,7.081455010043389e-05,0.002616791275710134,-3.9999563377877374,0.0026187514539537317,4.0000854363311555
3,-2.0015720851731875,2.000067888494648,-0.0020733140066537354,2.00008118063069,2.0074527359563943,2.0003236567171214,-2.00372136031094,0.0001478588748178845,-0.005464449954730504,1.8949634706497956e-05,1.9945330033289987,-5.193100089249706e-06,-1.9980713571572277,-1.9999451059398983,-0.006971771226803038,-1.999915891832845,2.015607483987109,-2.001096708429676,-4.019344652094235,-0.00014068221483257753,4.024442969218333,9.105948811360578e-05,0.0012452481708474144,-4.000413924547106,0.0026232097331643006,4.000085385490963
4,-2.0334941962914517,1.993150533621616,-0.024483402627752136,2.0000210185434137,2.0432102066741584,2.010774488813815,-2.025962123625514,1.7540223018701957e-05,-0.027619777340612155,-9.238214288466123e-05,1.9723051199884125,0.00011662301947735775,-1.9980668923389968,-1.99994480351117,-0.029108131528953102,-2.0000273969088695,2.0522002218053172,-2.0151917286877628,-4.068428692128808,-0.0003328982953849646,4.074828780582916,0.00040246320607240495,0.004393126333812379,-4.003655723170748,0.002627682863657084,4.000085380238422
5,-2.0601186165011502,1.9741139296304893,-0.04724997238821553,2.000003761709285,2.0742636397971137,2.034315845637753,-2.0487800848548954,0.00010092143312651198,-0.05037320026945939,-0.0002946703407558611,1.9490156356375115,-0.0003774315023341338,-2.010394647054906,-1.99945887466032,-0.05019353672512389,-2.0001305086835495,2.087773574452333,-2.0442098778676914,-4.119143431376916,-0.0007209264462124486,4.12700178843704,0.0007911041986812142,0.01565878806499226,-4.021453258246207,0.0007101313789143792,4.000564475838778
6,-2.068411898259197,1.9609637138596123,-0.07095533273587576,2.0002188108627013,2.1029506943815024,2.0736438278290454,-2.0748569548672897,3.7846011475564724e-05,-0.07548596571446715,-0.0004041851283582193,1.926252241134958,-0.0016941584243776464,-2.0416076423579965,-1.9900067887171469,-0.06941817508782445,-2.0002125296643896,2.118588043761561,-2.0870713326849772,-4.169907343020638,-0.0012933440908136046,4.178810676190864,0.0023982102599421065,0.021747246610070537,-4.059953367897665,0.0005208162915858886,4.001616768934574
7,-2.070130755512177,1.9708838645335143,-0.09013501013756904,2.0000274303713432,2.1282084239408725,2.1200188571613445,-2.1040373311652005,-0.0002049878173450237,-0.09938283238371914,-0.0005896354944967087,1.9069924013050474,-0.0030755031246877604,-2.062154909094582,-1.9729910263096537,-0.08883168594325658,-2.0001913977618417,2.150239712075708,-2.129306682589785,-4.222950208440062,-0.0031261271289250232,4.233317961841848,0.004062521853280053,0.018063767377272277,-4.111484499890903,0.01107241376787818,4.017896558256197
8,-2.0841292226033095,1.9976239753544223,-0.10697426571389484,2.0000203793896856,2.163635008956415,2.1586906340488863,-2.1336140243387964,1.6832387313779814e-05,-0.12330644130517662,-0.0007718152528089357,1.8892422654957235,-0.004130579816693357,-2.066003907299548,-1.9704476061916842,-0.1046702451160997,-2.000338106706001,2.188919871251587,-2.164184049371969,-4.275134386279273,-0.004599392429181406,4.287748512548415,0.006535665824764706,0.010279552859610932,-4.165809462577949,0.018481162168829127,4.052557369538518
9,-2.1120565673456255,2.027600532064639,-0.11872380370047243,2.000159315591888,2.2004707459454256,2.1937948641188854,-2.162170317169146,-0.000403440140072343,-0.14608156647059814,-0.0003394960502309505,1.8736356937228151,-0.004860447684244302,-2.070312737861201,-1.99154721639876,-0.11670077505964413,-2.0006133061641598,2.2231627003707675,-2.2008126386957447,-4.325773644582834,-0.00590837067254949,4.34023759143423,0.010062807428753574,0.0038671857563628642,-4.216954578252017,0.016317991124017318,4.101546139104362
